,-9,-7,-5,-3,-1,1,3,5,7,9,date,newborn,dead,WALE,11
0,0,0,0,0,0,0,0,0,0,0,2009-01-03,50,0,0,0
1,0,0,0,0,0,0,0,0,0,0,2009-01-04,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,2009-01-05,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,2009-01-06,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,2009-01-07,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,2009-01-08,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,2009-01-09,700,0,0,0
7,0,0,0,0,0,0,0,0,0,0,2009-01-10,3050,0,0,0
8,0,0,0,0,0,0,0,0,0,0,2009-01-11,4650,0,0,0
9,129,50,0,0,0,0,0,0,0,0,2009-01-12,4879,179,0.558659218,0
10,0,0,0,0,0,0,0,0,0,0,2009-01-13,6150,0,0,0
11,0,61,0,0,0,0,0,0,0,0,2009-01-14,6511,61,1.180327869,0
12,100,400,0,0,0,0,0,0,0,0,2009-01-15,6800,500,1.1,0
13,0,200,0,0,0,0,0,0,0,0,2009-01-16,5600,200,1.5,0
14,0,0,0,0,0,0,0,0,0,0,2009-01-17,5450,0,0,0
15,0,150,0,0,0,0,0,0,0,0,2009-01-18,5500,150,1.666666667,0
16,0,775,0,0,0,0,0,0,0,0,2009-01-19,6525,775,3.483870968,0
17,0,400,0,0,0,0,0,0,0,0,2009-01-20,6100,400,3.25,0
18,0,100,0,0,0,0,0,0,0,0,2009-01-21,5200,100,3,0
19,0,500,0,0,0,0,0,0,0,0,2009-01-22,5050,500,3.4,0
20,0,450,0,0,0,0,0,0,0,0,2009-01-23,4650,450,3,0
21,0,500,0,0,0,0,0,0,0,0,2009-01-24,10550,500,4.3,0
22,0,50,0,0,0,0,0,0,0,0,2009-01-25,9600,50,1,0
23,0,1000,0,0,0,0,0,0,0,0,2009-01-26,5800,1000,2.6,0
24,0,150,0,0,0,0,0,0,0,0,2009-01-27,5000,150,1.333333333,0
25,0,0,0,0,0,0,0,0,0,0,2009-01-28,5600,0,0,0
26,0,600,0,0,0,0,0,0,0,0,2009-01-29,6650,600,2.166666667,0
27,0,0,0,0,0,0,0,0,0,0,2009-01-30,5850,0,0,0
28,0,1000,0,0,0,0,0,0,0,0,2009-01-31,7900,1000,11.75,0
29,0,100,0,0,0,0,0,0,0,0,2009-02-01,5750,100,1,0
30,0,50,0,0,0,0,0,0,0,0,2009-02-02,6450,50,17,0
31,536.52,200,0,0,0,0,0,0,0,0,2009-02-03,7686.52,736.52,1.154075925,0
32,0,0,0,0,0,0,0,0,0,0,2009-02-04,5950,0,0,0
33,0,0,0,0,0,0,0,0,0,0,2009-02-05,6300,0,0,0
34,0,0,0,0,0,0,0,0,0,0,2009-02-06,6100,0,0,0
35,48,1150,0,0,0,0,0,0,0,0,2009-02-07,7648,1198,8.806343907,0
36,0,1000,0,0,0,0,0,0,0,0,2009-02-08,7600,1000,7,0
37,0,2200,0,0,0,0,0,0,0,0,2009-02-09,8900,2200,5.681818182,0
38,0,0,0,0,0,0,0,0,0,0,2009-02-10,6000,0,0,0
39,150,400.04,0,0,0,0,0,0,0,0,2009-02-11,7200.04,550.04,1.545887572,0
40,0,0,0,0,0,0,0,0,0,0,2009-02-12,5950,0,0,0
41,0,0,0,0,0,0,0,0,0,0,2009-02-13,6200,0,0,0
42,0,0,0,0,0,0,0,0,0,0,2009-02-14,6800,0,0,0
43,350,550,0,0,0,0,0,0,0,0,2009-02-15,7300,900,3.833333333,0
44,0,1500,0,0,0,0,0,0,0,0,2009-02-16,7600,1500,3.7,0
45,0,0,0,0,0,0,0,0,0,0,2009-02-17,5850,0,0,0
46,0,0,0,0,0,0,0,0,0,0,2009-02-18,5900,0,0,0
47,0,800,0,0,0,0,0,0,0,0,2009-02-19,7000,800,2.625,0
48,0,0,0,0,0,0,0,0,0,0,2009-02-20,6100,0,0,0
49,0,0,0,0,0,0,0,0,0,0,2009-02-21,5700,0,0,0
50,650,400,0,0,0,0,0,0,0,0,2009-02-22,7100,1050,1.666666667,0
51,0,0,0,0,0,0,0,0,0,0,2009-02-23,5400,0,0,0
52,0,0,0,0,0,0,0,0,0,0,2009-02-24,5300,0,0,0
53,0,0,0,0,0,0,0,0,0,0,2009-02-25,5250,0,0,0
54,0,0,0,0,0,0,0,0,0,0,2009-02-26,5350,0,0,0
55,0,1800,0,0,0,0,0,0,0,0,2009-02-27,7550,1800,5.055555556,0
56,0,350,0,0,0,0,0,0,0,0,2009-02-28,5300,350,3.428571429,0
57,0,0,0,0,0,0,0,0,0,0,2009-03-01,5250,0,0,0
58,0,0,0,0,0,0,0,0,0,0,2009-03-02,5400,0,0,0
59,0,400,0,0,0,0,0,0,0,0,2009-03-03,5650,400,3.625,0
60,0,1250,0,0,0,0,0,0,0,0,2009-03-04,6450,1250,3.72,0
61,0,400,0,0,0,0,0,0,0,0,2009-03-05,6000,400,1.75,0
62,0,0,0,0,0,0,0,0,0,0,2009-03-06,5850,0,0,0
63,0,0,0,0,0,0,0,0,0,0,2009-03-07,5450,0,0,0
64,350,1200,0,0,0,0,0,0,0,0,2009-03-08,7300,1550,3.129032258,0
65,0,0,0,0,0,0,0,0,0,0,2009-03-09,5400,0,0,0
66,0,0,0,0,0,0,0,0,0,0,2009-03-10,5350,0,0,0
67,0,0,0,0,0,0,0,0,0,0,2009-03-11,5700,0,0,0
68,0,150,0,0,0,0,0,0,0,0,2009-03-12,6050,150,3.333333333,0
69,0,750,0,0,0,0,0,0,0,0,2009-03-13,6400,750,3.266666667,0
70,0,0,0,0,0,0,0,0,0,0,2009-03-14,5500,0,0,0
71,0,0,0,0,0,0,0,0,0,0,2009-03-15,6150,0,0,0
72,0,2400,0,0,0,0,0,0,0,0,2009-03-16,8450,2400,7.520833333,0
73,0,0,0,0,0,0,0,0,0,0,2009-03-17,5700,0,0,0
74,0,700,0,0,0,0,0,0,0,0,2009-03-18,6400,700,3.571428571,0
75,0,0,0,0,0,0,0,0,0,0,2009-03-19,6100,0,0,0
76,0,600,0,0,0,0,0,0,0,0,2009-03-20,6500,600,2.083333333,0
77,0,0,0,0,0,0,0,0,0,0,2009-03-21,2500,0,0,0
78,0,550,0,0,0,0,0,0,0,0,2009-03-22,6500,550,6.818181818,0
79,0,0,0,0,0,0,0,0,0,0,2009-03-23,6500,0,0,0
80,0,0,0,0,0,0,0,0,0,0,2009-03-24,5250,0,0,0
81,0,0,0,0,0,0,0,0,0,0,2009-03-25,5850,0,0,0
82,0,1400,0,0,0,0,0,0,0,0,2009-03-26,7250,1400,3.678571429,0
83,0,0,0,0,0,0,0,0,0,0,2009-03-27,5300,0,0,0
84,0,1000,0,0,0,0,0,0,0,0,2009-03-28,6950,1000,4.35,0
85,0,0,0,0,0,0,0,0,0,0,2009-03-29,5800,0,0,0
86,0,0,0,0,0,0,0,0,0,0,2009-03-30,6000,0,0,0
87,0,1600,0,0,0,0,0,0,0,0,2009-03-31,7100,1600,2.90625,0
88,0,0,0,0,0,0,0,0,0,0,2009-04-01,5700,0,0,0
89,0,0,0,0,0,0,0,0,0,0,2009-04-02,5750,0,0,0
90,0,0,0,0,0,0,0,0,0,0,2009-04-03,5800,0,0,0
91,0,0,0,0,0,0,0,0,0,0,2009-04-04,5650,0,0,0
92,0,850,0,0,0,0,0,0,0,0,2009-04-05,7350,850,3.588235294,0
93,0,0,0,0,0,0,0,0,0,0,2009-04-06,5450,0,0,0
94,0,0,0,0,0,0,0,0,0,0,2009-04-07,5000,0,0,0
95,0,0,0,0,0,0,0,0,0,0,2009-04-08,5250,0,0,0
96,0,0,0,0,0,0,0,0,0,0,2009-04-09,4950,0,0,0
97,0,0,0,0,0,0,0,0,0,0,2009-04-10,5400,0,0,0
98,0,350,0,0,0,0,0,0,0,0,2009-04-11,6350,350,2.285714286,0
99,300,650,0,0,0,0,0,0,0,0,2009-04-12,6850,950,3.736842105,0
100,0,50,0,0,0,0,0,0,0,0,2009-04-13,5800,50,1,0
101,0,0,0,0,0,0,0,0,0,0,2009-04-14,6200,0,0,0
102,0,0,0,0,0,0,0,0,0,0,2009-04-15,5650,0,0,0
103,0,0,0,0,0,0,0,0,0,0,2009-04-16,6150,0,0,0
104,0,0,0,0,0,0,0,0,0,0,2009-04-17,5600,0,0,0
105,32.51,100,50,0,0,0,0,0,0,0,2009-04-18,6482.51,182.51,15.8895403,0
106,0,400,0,0,0,0,0,0,0,0,2009-04-19,6350,400,6.25,0
107,0,4850,900,0,0,0,0,0,0,0,2009-04-20,11700,5750,17.29565217,0
108,0,50,0,0,0,0,0,0,0,0,2009-04-21,6200,50,3,0
109,0,0,0,0,0,0,0,0,0,0,2009-04-22,6050,0,0,0
110,0,0,0,0,0,0,0,0,0,0,2009-04-23,3750,0,0,0
111,0,0,0,0,0,0,0,0,0,0,2009-04-24,5750,0,0,0
112,0,0,0,0,0,0,0,0,0,0,2009-04-25,5900,0,0,0
113,0,750,0,0,0,0,0,0,0,0,2009-04-26,6350,750,3.6,0
114,0,0,0,0,0,0,0,0,0,0,2009-04-27,5200,0,0,0
115,0,0,0,0,0,0,0,0,0,0,2009-04-28,5850,0,0,0
116,0,1000,0,0,0,0,0,0,0,0,2009-04-29,7400,1000,4.8,0
117,0,0,0,0,0,0,0,0,0,0,2009-04-30,6550,0,0,0
118,0,0,0,0,0,0,0,0,0,0,2009-05-01,6050,0,0,0
119,49.94,700,0,0,0,0,0,0,0,0,2009-05-02,7049.94,749.94,6.000480038,0
120,60,50,0,0,0,0,0,0,0,0,2009-05-03,5410,110,0.454545455,0
121,50,1450,0,0,0,0,0,0,0,0,2009-05-04,7900,1500,3.2,0
122,0,500,0,0,0,0,0,0,0,0,2009-05-05,7250,500,2.1,0
123,0,0,0,0,0,0,0,0,0,0,2009-05-06,6750,0,0,0
124,0,0,0,0,0,0,0,0,0,0,2009-05-07,6100,0,0,0
125,0,0,0,0,0,0,0,0,0,0,2009-05-08,5350,0,0,0
126,0,0,0,0,0,0,0,0,0,0,2009-05-09,3900,0,0,0
127,0,0,0,0,0,0,0,0,0,0,2009-05-10,4250,0,0,0
128,0,100,0,0,0,0,0,0,0,0,2009-05-11,6100,100,1,0
129,0,0,0,0,0,0,0,0,0,0,2009-05-12,6500,0,0,0
130,50.01,100,0,0,0,0,0,0,0,0,2009-05-13,5700.01,150.01,2.666488901,0
131,49.99,150,0,0,0,0,0,0,0,0,2009-05-14,7149.99,199.99,1.750087504,0
132,100,400,0,0,0,0,0,0,0,0,2009-05-15,7300,500,7.6,0
133,0,0,0,0,0,0,0,0,0,0,2009-05-16,5950,0,0,0
134,0,0,0,0,0,0,0,0,0,0,2009-05-17,6350,0,0,0
135,0,0,0,0,0,0,0,0,0,0,2009-05-18,5900,0,0,0
136,0,0,0,0,0,0,0,0,0,0,2009-05-19,4300,0,0,0
137,0,0,0,0,0,0,0,0,0,0,2009-05-20,6000,0,0,0
138,0,0,0,0,0,0,0,0,0,0,2009-05-21,4100,0,0,0
139,0,0,0,0,0,0,0,0,0,0,2009-05-22,3050,0,0,0
140,0,0,0,0,0,0,0,0,0,0,2009-05-23,1600,0,0,0
141,0,0,0,0,0,0,0,0,0,0,2009-05-24,5000,0,0,0
142,0,0,0,0,0,0,0,0,0,0,2009-05-25,5450,0,0,0
143,0,0,0,0,0,0,0,0,0,0,2009-05-26,6250,0,0,0
144,0,0,0,0,0,0,0,0,0,0,2009-05-27,5950,0,0,0
145,0,0,0,0,0,0,0,0,0,0,2009-05-28,4750,0,0,0
