,date,-9,-7,-5,-3,-1,1,3,5,7,9,11
0,2009/1/3,50,0,0,0,0,0,0,0,0,0,0
1,2009/1/4,0,50,0,0,0,0,0,0,0,0,0
2,2009/1/5,0,50,0,0,0,0,0,0,0,0,0
3,2009/1/6,0,50,0,0,0,0,0,0,0,0,0
4,2009/1/7,0,50,0,0,0,0,0,0,0,0,0
5,2009/1/8,0,50,0,0,0,0,0,0,0,0,0
6,2009/1/9,700,50,0,0,0,0,0,0,0,0,0
7,2009/1/10,3050,750,0,0,0,0,0,0,0,0,0
8,2009/1/11,4650,3800,0,0,0,0,0,0,0,0,0
9,2009/1/12,4750,8400,0,0,0,0,0,0,0,0,0
10,2009/1/13,6150,13150,0,0,0,0,0,0,0,0,0
11,2009/1/14,6511,19239,0,0,0,0,0,0,0,0,0
12,2009/1/15,6700,25350,0,0,0,0,0,0,0,0,0
13,2009/1/16,5600,31850,0,0,0,0,0,0,0,0,0
14,2009/1/17,5450,37450,0,0,0,0,0,0,0,0,0
15,2009/1/18,5500,42750,0,0,0,0,0,0,0,0,0
16,2009/1/19,6525,47475,0,0,0,0,0,0,0,0,0
17,2009/1/20,6100,53600,0,0,0,0,0,0,0,0,0
18,2009/1/21,5200,59600,0,0,0,0,0,0,0,0,0
19,2009/1/22,5050,64300,0,0,0,0,0,0,0,0,0
20,2009/1/23,4650,68900,0,0,0,0,0,0,0,0,0
21,2009/1/24,10550,73050,0,0,0,0,0,0,0,0,0
22,2009/1/25,9600,83550,0,0,0,0,0,0,0,0,0
23,2009/1/26,5800,92150,0,0,0,0,0,0,0,0,0
24,2009/1/27,5000,97800,0,0,0,0,0,0,0,0,0
25,2009/1/28,5600,102800,0,0,0,0,0,0,0,0,0
26,2009/1/29,6650,107800,0,0,0,0,0,0,0,0,0
27,2009/1/30,5850,114450,0,0,0,0,0,0,0,0,0
28,2009/1/31,7900,119300,0,0,0,0,0,0,0,0,0
29,2009/2/1,5750,127100,0,0,0,0,0,0,0,0,0
30,2009/2/2,6450,132750,50,0,0,0,0,0,0,0,0
31,2009/2/3,7150,139000,50,0,0,0,0,0,0,0,0
32,2009/2/4,5950,146150,50,0,0,0,0,0,0,0,0
33,2009/2/5,6300,152100,50,0,0,0,0,0,0,0,0
34,2009/2/6,6100,158400,50,0,0,0,0,0,0,0,0
35,2009/2/7,7600,163350,50,0,0,0,0,0,0,0,0
36,2009/2/8,7600,169300,700,0,0,0,0,0,0,0,0
37,2009/2/9,8900,171650,3750,0,0,0,0,0,0,0,0
38,2009/2/10,6000,175900,8400,0,0,0,0,0,0,0,0
39,2009/2/11,7100.04,176710.96,13139,0,0,0,0,0,0,0,0
