Date,Volume
2022/5/31,41135817341 
2022/5/30,33538210634 
2022/5/29,39277993274 
2022/5/28,18093886409 
2022/5/27,35519577634 
2022/5/26,36582005748 
2022/5/25,36774325352 
2022/5/24,27525063551 
2022/5/23,26616506245 
2022/5/22,31483454557 
2022/5/21,21631532270 
2022/5/20,17274840442 
2022/5/19,30749382605 
2022/5/18,33773447707 
2022/5/17,31285268319 
2022/5/16,29101473475 
2022/5/15,32613897286 
2022/5/14,25835372065 
2022/5/13,28579868620 
2022/5/12,42841124537 
2022/5/11,66989173272 
2022/5/10,70388855818 
2022/5/9,59811038817 
2022/5/8,63355494961 
2022/5/7,36763041910 
2022/5/6,24375896406 
2022/5/5,37795577489 
2022/5/4,43106256317 
2022/5/3,36754404490 
2022/5/2,27326943244 
2022/5/1,32922642426 
2022/4/30,27002760110 
2022/4/29,23895713731 
2022/4/28,30882994649 
2022/4/27,33903704907 
2022/4/26,30981015184 
2022/4/25,34569088416 
2022/4/24,35445730570 
2022/4/23,17964398167 
2022/4/22,16138021249 
2022/4/21,28011716745 
2022/4/20,35372786395 
2022/4/19,27819532341 
2022/4/18,25303206547 
2022/4/17,33705182072 
2022/4/16,19087633042 
2022/4/15,16833150693 
2022/4/14,21756855753 
2022/4/13,24342001973 
2022/4/12,27691105228 
2022/4/11,30991500854 
2022/4/10,33949912166 
2022/4/9,17654475582 
2022/4/8,16050772496 
2022/4/7,27215995394 
2022/4/6,26101973106 
2022/4/5,39393395788 
2022/4/4,29640604055 
2022/4/3,32499785455 
2022/4/2,25414397610 
2022/4/1,29336594194 
2022/3/31,38162644287 
2022/3/30,33327427106 
2022/3/29,29333883962 
2022/3/28,31397059069 
2022/3/27,36362175703 
2022/3/26,28160889722 
2022/3/25,16950455995 
2022/3/24,30574413034 
2022/3/23,31042992291 
2022/3/22,25242943069 
2022/3/21,32004652376 
2022/3/20,24615543271 
2022/3/19,20127946682 
2022/3/18,19664853187 
2022/3/17,34421564942 
2022/3/16,22009601093 
2022/3/15,39616916192 
2022/3/14,23934000868 
2022/3/13,24322159070 
2022/3/12,17300745310 
2022/3/11,14616450657 
2022/3/10,26364890465 
2022/3/9,31078064711 
2022/3/8,32284121034 
2022/3/7,25776583476 
2022/3/6,28546143503 
2022/3/5,19745229902 
2022/3/4,16975917450 
2022/3/3,28516271427 
2022/3/2,24967782593 
2022/3/1,29183112630 
2022/2/28,32479047645 
2022/2/27,35690014104 
2022/2/26,23450127612 
2022/2/25,17467554129 
2022/2/24,26545599159 
2022/2/23,46383802093 
2022/2/22,21849073843 
2022/2/21,25493150450 
2022/2/20,29280402798 
2022/2/19,18340576452 
2022/2/18,13736557863 
2022/2/17,23310007704 
2022/2/16,26246662813 
2022/2/15,19792547657 
2022/2/14,22721659051 
2022/2/13,20827783012 
2022/2/12,14741589015 
2022/2/11,18152390304 
2022/2/10,26954925781 
2022/2/9,32142048537 
2022/2/8,23245887300 
2022/2/7,33079398868 
2022/2/6,28641855926 
2022/2/5,16142097334 
2022/2/4,19652846215 
2022/2/3,29412210792 
2022/2/2,18591534769 
2022/2/1,19155189416 
2022/1/31,20288500328 
2022/1/30,20734730465 
2022/1/29,14643548444 
2022/1/28,17194183075 
2022/1/27,22238830523 
2022/1/26,25041426629 
2022/1/25,31324598034 
2022/1/24,26428189594 
2022/1/23,41856658597 
2022/1/22,26017975951 
2022/1/21,39714385405 
2022/1/20,43011992031 
2022/1/19,20382033940 
2022/1/18,23091543258 
2022/1/17,22417209227 
2022/1/16,21690904261 
2022/1/15,17902097845 
2022/1/14,18371348298 
2022/1/13,23577403399 
2022/1/12,47691135082 
2022/1/11,33499938689 
2022/1/10,26327648900 
2022/1/9,32104232331 
2022/1/8,21294384372 
2022/1/7,28066355845 
2022/1/6,84196607520 
2022/1/5,30208048289 
2022/1/4,36851084859 
2022/1/3,42494677905 
2022/1/2,33071628362 
2022/1/1,27951569547 
2021/12/31,24582667004 
2021/12/30,36974172400 
2021/12/29,26686491018 
2021/12/28,30049226299 
2021/12/27,33430376883 
2021/12/26,24324345758 
2021/12/25,20964372926 
2021/12/24,19030650914 
2021/12/23,24367912228 
2021/12/22,28223878108 
2021/12/21,24447979559 
2021/12/20,27055803928 
2021/12/19,30961902129 
2021/12/18,25154053861 
2021/12/17,26098292690 
2021/12/16,32902725329 
2021/12/15,27268150947 
2021/12/14,36541828520 
2021/12/13,34638619079 
2021/12/12,32166727776 
2021/12/11,21939223599 
2021/12/10,25775869261 
2021/12/9,30966005122 
2021/12/8,29603577251 
2021/12/7,28479699446 
2021/12/6,33676814852 
2021/12/5,37707308001 
2021/12/4,37198201161 
2021/12/3,61385677469 
2021/12/2,39789134215 
2021/12/1,32379968686 
2021/11/30,36858195307 
2021/11/29,36708594618 
2021/11/28,32370840356 
2021/11/27,28116886357 
2021/11/26,30560857714 
2021/11/25,41810748221 
2021/11/24,34284016248 
2021/11/23,36635566789 
2021/11/22,37485803899 
2021/11/21,35036121783 
2021/11/20,26123447605 
2021/11/19,30624264863 
2021/11/18,38702407772 
2021/11/17,41388338699 
2021/11/16,39178392930 
2021/11/15,46844335592 
2021/11/14,30558763548 
2021/11/13,25122092191 
2021/11/12,30474228777 
2021/11/11,36084893887 
2021/11/10,35880633236 
2021/11/9,48730828378 
2021/11/8,42357991721 
2021/11/7,41125608330 
2021/11/6,24726754302 
2021/11/5,29094934221 
2021/11/4,30605102446 
2021/11/3,32615846901 
2021/11/2,36124731509 
2021/11/1,37746665647 
2021/10/31,36150572843 
2021/10/30,32241199927 
2021/10/29,32157938616 
2021/10/28,36856881767 
2021/10/27,45257083247 
2021/10/26,43657076893 
2021/10/25,34878965587 
2021/10/24,31064911614 
2021/10/23,27316183882 
2021/10/22,26882546034 
2021/10/21,38434082775 
2021/10/20,45908121370 
2021/10/19,40788955582 
2021/10/18,40471196346 
2021/10/17,38055562075 
2021/10/16,29032367511 
2021/10/15,34250964237 
2021/10/14,51780081801 
2021/10/13,36615791366 
2021/10/12,41684252783 
2021/10/11,41083758949 
2021/10/10,42637331698 
2021/10/9,39527792364 
2021/10/8,32491211414 
